-9.978	93.763
-9.46	95.269
-8.965	96.989
-8.425	98.925
-7.975	100.215
-7.345	102.151
-6.85	103.226
-6.49	104.301
-5.996	105.806
-5.501	106.667
-5.006	107.957
-4.511	109.032
-4.016	109.892
-3.431	110.968
-2.981	111.613
-2.486	112.258
-1.991	112.688
-1.496	113.118
-1.001	113.548
-0.506	113.763
-0.011	113.763
0.484	113.763
0.979	113.763
1.519	113.548
2.013	113.118
2.508	112.903
3.003	112.043
3.498	111.613
3.993	110.968
4.488	110.108
4.983	109.247
5.478	109.247
6.018	109.677
6.513	109.247
7.008	107.312
7.503	106.237
8.043	106.882
8.403	107.527
8.763	106.237
8.988	104.946
9.483	104.301
10.022	105.806
10.562	106.022
11.012	104.086
11.507	103.441
12.002	104.516
12.497	105.591
12.992	104.301
13.487	103.656
13.982	104.301
14.522	104.301
15.017	103.656
15.512	103.656
16.007	104.086
16.502	103.656
16.997	103.226
17.492	104.086
17.987	102.581
18.481	102.151
19.021	102.796
19.516	102.151
20.011	100.86
20.506	100.215
21.001	100.43
21.496	100
21.991	98.28
22.486	98.065
22.981	96.989
23.521	96.559
23.971	95.699
24.511	94.409
25.006	93.333
25.501	93.118
25.996	91.828
26.49	90.968
26.985	89.462
27.48	88.817
28.02	87.312
28.515	86.022
28.965	84.946
29.46	83.656
30.022	81.935

