-19.0	7.092999367469461e6
-18.999	7.093331037582237e6
-18.998	7.093662727586922e6
-18.997	7.093994437479093e6
-18.996	7.0943261672543185e6
-18.995	7.094657916908175e6
-18.994	7.094989686436233e6
-18.993	7.095321475834066e6
-18.992	7.095653285097247e6
-18.991	7.095985114221351e6
-18.99	7.096316963201953e6
-18.989	7.096648832034619e6
-18.988	7.096980720714931e6
-18.987	7.097312629238457e6
-18.986	7.097644557600774e6
-18.985	7.097976505797455e6
-18.984	7.098308473824072e6
-18.983	7.098640461676198e6
-18.982	7.098972469349412e6
-18.981	7.099304496839281e6
-18.98	7.099636544141388e6
-18.979	7.099968611251299e6
-18.978	7.10030069816459e6
-18.977	7.100632804876838e6
-18.976	7.100964931383615e6
-18.975	7.101297077680496e6
-18.974	7.101629243763055e6
-18.973	7.101961429626867e6
-18.972	7.102293635267505e6
-18.971	7.102625860680548e6
-18.97	7.102958105861565e6
-18.969	7.103290370806132e6
-18.968	7.103622655509827e6
-18.967	7.103954959968224e6
-18.966	7.104287284176894e6
-18.965	7.104619628131417e6
-18.964	7.104951991827364e6
-18.963	7.105284375260314e6
-18.962	7.105616778425837e6
-18.961	7.105949201319513e6
-18.96	7.106281643936915e6
-18.959	7.106614106273621e6
-18.958	7.106946588325203e6
-18.957	7.107279090087236e6
-18.956	7.107611611555299e6
-18.955	7.107944152724967e6
-18.954	7.108276713591814e6
-18.953	7.108609294151417e6
-18.952	7.10894189439935e6
-18.951	7.10927451433119e6
-18.95	7.109607153942512e6
-18.949	7.109939813228896e6
-18.948	7.110272492185913e6
-18.947	7.110605190809142e6
-18.946	7.110937909094158e6
-18.945	7.1112706470365375e6
-18.944	7.111603404631858e6
-18.943	7.11193618187569e6
-18.942	7.112268978763621e6
-18.941	7.112601795291218e6
-18.94	7.112934631454064e6
-18.939	7.113267487247729e6
-18.938	7.113600362667795e6
-18.937	7.113933257709835e6
-18.936	7.114266172369431e6
-18.935	7.114599106642153e6
-18.934	7.114932060523583e6
-18.933	7.115265034009298e6
-18.932	7.115598027094874e6
-18.931	7.115931039775884e6
-18.93	7.1162640720479125e6
-18.929	7.116597123906535e6
-18.928	7.116930195347323e6
-18.927	7.117263286365859e6
-18.926	7.117596396957719e6
-18.925	7.117929527118482e6
-18.924	7.118262676843724e6
-18.923	7.118595846129026e6
-18.922	7.118929034969959e6
-18.921	7.119262243362107e6
-18.92	7.119595471301045e6
-18.919	7.119928718782353e6
-18.918	7.120261985801608e6
-18.917	7.120595272354387e6
-18.916	7.120928578436268e6
-18.915	7.121261904042831e6
-18.914	7.121595249169649e6
-18.913	7.121928613812307e6
-18.912	7.122261997966382e6
-18.911	7.122595401627449e6
-18.91	7.122928824791091e6
-18.909	7.123262267452881e6
-18.908	7.123595729608401e6
-18.907	7.12392921125323e6
-18.906	7.124262712382949e6
-18.905	7.1245962329931315e6
-18.904	7.124929773079358e6
-18.903	7.12526333263721e6
-18.902	7.125596911662264e6
-18.901	7.125930510150101e6
-18.9	7.126264128096297e6
-18.899	7.126597765496435e6
-18.898	7.126931422346092e6
-18.897	7.127265098640847e6
-18.896	7.12759879437628e6
-18.895	7.127932509547968e6
-18.894	7.128266244151499e6
-18.893	7.128599998182442e6
-18.892	7.128933771636384e6
-18.891	7.1292675645089e6
-18.89	7.129601376795572e6
-18.889	7.129935208491978e6
-18.888	7.130269059593703e6
-18.887	7.130602930096321e6
-18.886	7.130936819995414e6
-18.885	7.131270729286563e6
-18.884	7.131604657965347e6
-18.883	7.131938606027347e6
-18.882	7.132272573468142e6
-18.881	7.132606560283315e6
-18.88	7.132940566468446e6
-18.879	7.133274592019113e6
-18.878	7.133608636930897e6
-18.877	7.133942701199379e6
-18.876	7.13427678482014e6
-18.875	7.134610887788762e6
-18.874	7.134945010100825e6
-18.873	7.135279151751908e6
-18.872	7.135613312737594e6
-18.871	7.135947493053461e6
-18.87	7.136281692695095e6
-18.869	7.136615911658074e6
-18.868	7.136950149937979e6
-18.867	7.13728440753039e6
-18.866	7.137618684430892e6
-18.865	7.137952980635065e6
-18.864	7.138287296138487e6
-18.863	7.138621630936744e6
-18.862	7.138955985025417e6
-18.861	7.139290358400086e6
-18.86	7.139624751056332e6
-18.859	7.139959162989737e6
-18.858	7.140293594195885e6
-18.857	7.140628044670356e6
-18.856	7.140962514408732e6
-18.855	7.141297003406595e6
-18.854	7.141631511659531e6
-18.853	7.141966039163115e6
-18.852	7.142300585912934e6
-18.851	7.142635151904569e6
-18.85	7.142969737133602e6
-18.849	7.143304341595614e6
-18.848	7.143638965286193e6
-18.847	7.143973608200916e6
-18.846	7.144308270335365e6
-18.845	7.144642951685127e6
-18.844	7.144977652245783e6
-18.843	7.145312372012914e6
-18.842	7.145647110982106e6
-18.841	7.145981869148937e6
-18.84	7.1463166465089945e6
-18.839	7.146651443057861e6
-18.838	7.146986258791117e6
-18.837	7.14732109370435e6
-18.836	7.147655947793139e6
-18.835	7.147990821053065e6
-18.834	7.148325713479717e6
-18.833	7.1486606250686785e6
-18.832	7.148995555815529e6
-18.831	7.1493305057158545e6
-18.83	7.149665474765239e6
-18.829	7.150000462959263e6
-18.828	7.150335470293512e6
-18.827	7.150670496763571e6
-18.826	7.151005542365024e6
-18.825	7.151340607093452e6
-18.824	7.151675690944441e6
-18.823	7.152010793913576e6
-18.822	7.152345915996441e6
-18.821	7.152681057188616e6
-18.82	7.153016217485692e6
-18.819	7.153351396883247e6
-18.818	7.153686595376867e6
-18.817	7.15402181296214e6
-18.816	7.154357049634647e6
-18.815	7.1546923053899715e6
